iter	Passed	Remaining
0	1	112
1	2	101
2	2	95
3	3	87
4	4	87
5	5	86
6	6	84
7	7	85
8	8	86
9	9	85
10	10	83
11	11	83
12	12	81
13	13	80
14	14	79
15	15	79
16	16	78
17	16	77
18	17	75
19	18	74
20	19	73
21	20	72
22	21	71
23	22	70
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	27	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	35	56
39	36	55
40	37	54
41	38	53
42	39	52
43	40	52
44	41	51
45	42	50
46	44	49
47	45	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	38
59	55	37
60	56	36
61	57	35
62	59	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	94	1
98	95	0
99	96	0
