iter	Passed	Remaining
0	139	139437
1	141	70530
2	143	47547
3	145	36117
4	146	29217
5	148	24527
6	149	21186
7	151	18725
8	152	16788
9	153	15195
10	154	13889
11	155	12824
12	156	11911
13	158	11147
14	160	10514
15	161	9921
16	162	9413
17	166	9058
18	167	8647
19	168	8270
20	169	7923
21	171	7606
22	173	7354
23	176	7161
24	177	6933
25	178	6704
26	180	6489
27	181	6287
28	183	6128
29	184	5955
30	185	5802
31	188	5711
32	191	5604
33	192	5466
34	193	5333
35	194	5216
36	196	5103
37	197	4998
38	198	4896
39	200	4816
40	202	4736
41	204	4657
42	205	4570
43	206	4484
44	207	4402
45	208	4324
46	209	4248
47	210	4176
48	211	4108
49	212	4044
50	214	3988
51	216	3942
52	217	3889
53	218	3832
54	219	3778
55	220	3724
56	221	3671
57	223	3621
58	224	3573
59	225	3526
60	226	3481
61	227	3437
62	229	3414
63	231	3389
64	233	3356
65	236	3348
66	238	3322
67	240	3302
68	242	3270
69	244	3242
70	246	3222
71	248	3198
72	249	3170
73	251	3141
74	252	3112
75	253	3087
76	255	3060
77	256	3035
78	259	3023
79	261	3006
80	262	2983
81	264	2959
82	264	2927
83	266	2903
84	267	2884
85	272	2894
86	273	2869
87	275	2854
88	278	2852
89	280	2834
90	281	2814
91	283	2797
92	285	2781
93	286	2759
94	287	2737
95	288	2715
96	290	2702
97	292	2691
98	293	2675
99	295	2658
100	296	2638
101	297	2620
102	299	2606
103	300	2590
104	301	2573
105	303	2557
106	304	2540
107	306	2528
108	307	2516
109	308	2499
110	310	2483
111	311	2466
112	312	2451
113	313	2439
114	315	2424
115	316	2411
116	317	2395
117	318	2382
118	321	2383
119	324	2379
120	325	2366
121	326	2351
122	328	2341
123	329	2327
124	330	2314
125	331	2301
126	332	2286
127	333	2273
128	337	2279
129	339	2268
130	340	2257
131	343	2256
132	344	2245
133	345	2233
134	346	2220
135	347	2208
136	348	2196
137	352	2199
138	353	2189
139	354	2179
140	356	2169
141	356	2156
142	359	2151
143	360	2140
144	361	2130
145	362	2119
146	363	2109
147	364	2098
148	367	2101
149	369	2093
150	370	2085
151	372	2076
152	374	2071
153	375	2061
154	376	2051
155	377	2042
156	378	2031
157	379	2021
158	381	2018
159	383	2013
160	384	2003
161	385	1995
162	387	1989
163	389	1982
164	390	1974
165	391	1965
166	392	1956
167	393	1950
168	397	1954
169	398	1947
170	400	1943
171	401	1934
172	402	1926
173	404	1918
174	405	1910
175	406	1902
176	407	1893
177	408	1886
178	410	1882
179	411	1875
180	412	1868
181	414	1860
182	415	1853
183	416	1846
184	417	1838
185	418	1831
186	419	1824
187	420	1817
188	422	1812
189	423	1804
190	424	1798
191	426	1795
192	428	1790
193	429	1784
194	430	1777
195	431	1771
196	433	1765
197	434	1759
198	435	1753
199	436	1746
200	437	1740
201	438	1733
202	440	1729
203	442	1724
204	443	1718
205	444	1711
206	445	1705
207	446	1698
208	447	1692
209	448	1685
210	449	1680
211	450	1674
212	451	1668
213	452	1662
214	453	1655
215	454	1650
216	456	1646
217	457	1641
218	458	1635
219	459	1630
220	460	1624
221	462	1620
222	463	1614
223	464	1608
224	465	1602
225	466	1597
226	467	1593
227	468	1587
228	470	1585
229	473	1583
230	474	1579
231	475	1575
232	477	1570
233	478	1567
234	480	1562
235	481	1557
236	482	1552
237	483	1547
238	484	1542
239	486	1541
240	488	1537
241	489	1532
242	490	1528
243	491	1523
244	493	1519
245	494	1514
246	495	1509
247	495	1503
248	496	1498
249	497	1493
250	499	1489
251	500	1485
252	501	1481
253	502	1476
254	503	1472
255	504	1467
256	505	1462
257	506	1457
258	508	1453
259	509	1448
260	510	1444
261	511	1440
262	512	1435
263	513	1430
264	515	1428
265	516	1426
266	518	1424
267	520	1420
268	521	1416
269	522	1411
270	523	1407
